framework_a,framework_b,metric,diff,t_stat,p_value,boot_ci_low,boot_ci_high
CatBoost,feature_ablation_xgboost_baseline,accuracy,0.0035242974693371343,0.4943445902597422,0.6469810584983992,-0.008771929824561365,0.015804999223723047
CatBoost,feature_ablation_xgboost_poly2,accuracy,-0.0017543859649121751,-0.3429971702850145,0.7488684500235288,-0.010526315789473672,0.007017543859649145
CatBoost,XGBoost,f1_macro,0.0022360286811115015,0.32491376411937073,0.7615297407028158,-0.010867170552246442,0.013468206085207868
CatBoost,XGBoost,accuracy,0.0017699115044248481,0.2743934638448156,0.7973704216452263,-0.010526315789473606,0.01229622729389852
CatBoost,automl_suite_autogluon,accuracy,0.021068157118460107,4.721492548867668,0.009161471248924894,0.014066138798323325,0.02982456140350882
CatBoost,H2O_AutoML,f1_macro,0.007784790749188142,0.7788908989227146,0.47955060041589087,-0.007731486431190234,0.024364885752871022
CatBoost,H2O_AutoML,accuracy,0.006891825482671088,0.7313996967489926,0.5050758607751188,-0.007735522434404566,0.022407971402212772
CatBoost,LightGBM,f1_macro,-0.0013588287603223392,-0.14268579267313505,0.8934371449955316,-0.01815097690524734,0.015433319384602573
CatBoost,LightGBM,accuracy,-0.0017543859649121751,-0.19611613513818238,0.8540797033781728,-0.01754385964912277,0.014035087719298244
CatBoost,leaderboard,f1_macro,0.007784790749188142,0.7788908989227146,0.47955060041589087,-0.007731486431190234,0.024364885752871022
CatBoost,leaderboard,accuracy,0.006891825482671088,0.7313996967489926,0.5050758607751188,-0.007735522434404566,0.022407971402212772
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,accuracy,-0.005278683434249309,-0.614064640292469,0.5723784320119825,-0.019298245614035082,0.012265176214873419
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,fit_time_sec,-0.2812376580026467,-6.7246729039839845,0.002546875432981339,-0.3382771582051646,-0.1959808663988952
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,predict_time_sec,-0.022741141394362778,-125.24120794323555,2.4376856243665115e-08,-0.0230445835943101,-0.0223801573883975
feature_ablation_xgboost_baseline,XGBoost,accuracy,-0.0017543859649122862,-1.0,0.373900966300059,-0.005263157894736792,0.0
feature_ablation_xgboost_baseline,automl_suite_autogluon,accuracy,0.017543859649122973,2.2360679774997907,0.08900934250008556,0.0035087719298245723,0.03157894736842111
feature_ablation_xgboost_baseline,automl_suite_autogluon,fit_time_sec,-7.723488766208175,-1.8528302297281192,0.13753773844211462,-16.068451057805213,-3.3848511914082335
feature_ablation_xgboost_baseline,automl_suite_autogluon,predict_time_sec,-0.0005789833958260802,-1.436172183751896,0.22430005754059854,-0.0013739165966399197,6.771640619263981e-05
feature_ablation_xgboost_baseline,H2O_AutoML,accuracy,0.0033675280133339536,0.3203045938947287,0.7647716057897657,-0.01469026548672574,0.02161011392666552
feature_ablation_xgboost_baseline,LightGBM,accuracy,-0.005278683434249309,-2.4494367711074525,0.07048801730815643,-0.008802980903586466,-0.0017543859649122862
feature_ablation_xgboost_baseline,leaderboard,accuracy,0.0033675280133339536,0.3203045938947287,0.7647716057897657,-0.01469026548672574,0.02161011392666552
feature_ablation_xgboost_poly2,XGBoost,accuracy,0.0035242974693370233,0.4606998406387165,0.6689479681578911,-0.012265176214873419,0.01403508771929829
feature_ablation_xgboost_poly2,automl_suite_autogluon,accuracy,0.022822543083372282,2.657376397775746,0.0565448408526072,0.008787455364073948,0.03685763080267048
feature_ablation_xgboost_poly2,automl_suite_autogluon,fit_time_sec,-7.442251108205528,-1.7940881407245304,0.1472480652957959,-15.74750092480681,-3.171543299802579
feature_ablation_xgboost_poly2,automl_suite_autogluon,predict_time_sec,0.022162157998536696,45.05941761437616,1.4507223104396092e-06,0.02133544139796868,0.02300443300046024
feature_ablation_xgboost_poly2,H2O_AutoML,accuracy,0.008646211447583263,1.1057301506261663,0.3308707134604697,-0.0006707033069399237,0.024802164850435182
feature_ablation_xgboost_poly2,LightGBM,accuracy,0.0,0.0,1.0,-0.019298245614035082,0.017543859649122796
feature_ablation_xgboost_poly2,leaderboard,accuracy,0.008646211447583263,1.1057301506261663,0.3308707134604697,-0.0006707033069399237,0.024802164850435182
XGBoost,automl_suite_autogluon,accuracy,0.01929824561403526,2.4003967925959158,0.0743243348263688,0.005263157894736836,0.03333333333333337
XGBoost,H2O_AutoML,f1_macro,0.00554876206807664,0.5349000221470519,0.6210700284676717,-0.01204993921924984,0.0238834359403024
XGBoost,H2O_AutoML,accuracy,0.00512191397824624,0.5333256070916583,0.62206402146544,-0.010857553174972948,0.021951675795940484
XGBoost,LightGBM,f1_macro,-0.003594857441433841,-0.9473936176161976,0.3970841968872723,-0.009351259180200877,0.004004224747137086
XGBoost,LightGBM,accuracy,-0.0035242974693370233,-1.0027524976734217,0.37272087583113517,-0.008802980903586466,0.0035087719298245055
XGBoost,leaderboard,f1_macro,0.00554876206807664,0.5349000221470519,0.6210700284676717,-0.01204993921924984,0.0238834359403024
XGBoost,leaderboard,accuracy,0.00512191397824624,0.5333256070916583,0.62206402146544,-0.010857553174972948,0.021951675795940484
automl_suite_autogluon,H2O_AutoML,accuracy,-0.014176331635789019,-1.0664365523714685,0.34631661705075056,-0.03612172022977811,0.007934287191686448
automl_suite_autogluon,LightGBM,accuracy,-0.022822543083372282,-2.528748085901314,0.06475084306701001,-0.038596491228070254,-0.008771929824561408
automl_suite_autogluon,leaderboard,accuracy,-0.014176331635789019,-1.0664365523714685,0.34631661705075056,-0.03612172022977811,0.007934287191686448
H2O_AutoML,LightGBM,f1_macro,-0.009143619509510481,-0.6886842576236747,0.5288855513218919,-0.03232878458631909,0.014497879526194425
H2O_AutoML,LightGBM,accuracy,-0.008646211447583263,-0.7085209171389095,0.517728877396661,-0.029886740547705147,0.012655798789007928
H2O_AutoML,leaderboard,f1_macro,0.0,,,0.0,0.0
H2O_AutoML,leaderboard,accuracy,0.0,,,0.0,0.0
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,accuracy,-0.0061403508771928905,-0.804511759001236,0.44183409305329135,-0.020168063965222787,0.007886974072349007
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,fit_time_sec,-0.30000784169824335,-10.248247702350874,2.916526108955664e-06,-0.3533388838165774,-0.24760329378863394
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,predict_time_sec,0.0007913457957329202,6.9790569373015465,6.47282617880105e-05,0.0005707021793568844,0.0009948566717866878
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,accuracy,-0.005270920664492862,-1.4073302070956273,0.19291441986762103,-0.012280701754386003,0.0017466231951560052
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,fit_time_sec,-0.7649152623998816,-38.06472966053238,2.959129746747863e-11,-0.7979367034726238,-0.7291832158037141
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.00112583339796403,10.410883600543773,2.5567098837953038e-06,0.000906663838504775,0.001297359176969641
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,accuracy,0.0008694302127000286,0.11488246368391948,0.9110605190986631,-0.011443098897686733,0.015797236453966735
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,fit_time_sec,-0.4649074207016383,-19.926316138497775,9.379939359683004e-09,-0.5072559963784806,-0.4195721971064268
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.00033448760223110966,1.9124006507013467,0.08812234534642313,-1.787225901351538e-05,0.000600602042577547
LightGBM,leaderboard,f1_macro,0.009143619509510481,0.6886842576236747,0.5288855513218919,-0.014497879526194461,0.03232878458631909
LightGBM,leaderboard,accuracy,0.008646211447583263,0.7085209171389095,0.517728877396661,-0.012655798789007973,0.029886740547705147
