mae,r2,rmse,framework,f1_macro,accuracy,roc_auc_ovr,avg_precision_ovr,dataset
2.5994911,-0.0371230509537885,3.0451455,XGBoost,,,,,timeseries_demo
2.5987092007825408,-0.0364385539681904,3.044713834249511,LightGBM,,,,,timeseries_demo
2.5590932030736733,-1.2462523575562656e-05,3.080731374762504,CatBoost,,,,,timeseries_demo
,,,H2O_AutoML,0.0,0.0,0.9375,0.3333333333333333,timeseries_demo
,,,H2O_AutoML,0.0,0.0,0.0,0.3333333333333333,_salary_skipped
,,,XGBoost,0.9622238561679722,0.9648501785437044,0.9943114327654125,0.9962546167318268,breast_cancer
,,,LightGBM,0.965818713609406,0.9683744760130416,0.9944523731536504,0.9964290715955264,breast_cancer
,,,CatBoost,0.9644598848490836,0.9666200900481292,0.994384394220621,0.9966572847377916,breast_cancer
,,,FLAML,0.9623015873015872,0.9649122807017544,0.9950396825396826,0.9971501525685088,breast_cancer
,,,H2O_AutoML,0.9285714285714286,0.9338842975206612,1.0,1.0,breast_cancer
