feature,importance
worst_perimeter,0.24507265
worst_radius,0.17637533
mean_concave_points,0.15071073
worst_concave_points,0.07133971
worst_area,0.054738753
mean_texture,0.02471724
worst_texture,0.023129681
worst_concavity,0.022251276
texture_error,0.021020183
mean_radius,0.019652558
perimeter_error,0.019079307
mean_area,0.017967172
worst_smoothness,0.017201787
mean_concavity,0.015791107
mean_perimeter,0.0120919
area_error,0.011130491
worst_compactness,0.011123606
radius_error,0.010519589
smoothness_error,0.008758714
concave_points_error,0.008235493
mean_fractal_dimension,0.0079523
worst_symmetry,0.0071475436
mean_compactness,0.007006666
mean_smoothness,0.0067780702
worst_fractal_dimension,0.006615861
concavity_error,0.005799709
compactness_error,0.005594863
fractal_dimension_error,0.0043290854
symmetry_error,0.0041220267
mean_symmetry,0.0037465997
