feature,importance
worst_area worst_smoothness,0.13471556
worst_area worst_concave_points,0.081088126
worst_perimeter worst_smoothness,0.04588347
mean_concave_points worst_texture,0.03786804
worst_radius worst_smoothness,0.031366654
worst_area worst_concavity,0.03093612
texture_error worst_concavity,0.028436977
mean_radius area_error,0.024871077
mean_texture mean_concavity,0.021932492
worst_area worst_symmetry,0.019398127
mean_concavity worst_texture,0.019123616
mean_smoothness worst_radius,0.015536671
mean_texture worst_concave_points,0.014361907
mean_smoothness worst_concave_points,0.013129252
symmetry_error worst_area,0.012381902
worst_radius worst_concave_points,0.012146033
mean_fractal_dimension worst_radius,0.01207919
mean_texture worst_area,0.011761977
worst_texture worst_area,0.011223715
area_error worst_perimeter,0.011064954
mean_area concave_points_error,0.010589723
mean_texture worst_concavity,0.010481619
mean_concave_points radius_error,0.009759178
worst_texture worst_concave_points,0.0095435055
area_error worst_radius,0.008612922
mean_radius mean_texture,0.008424337
fractal_dimension_error,0.00811566
worst_area worst_compactness,0.007835051
area_error worst_texture,0.007801458
worst_texture^2,0.0076431883
mean_texture mean_concave_points,0.0074082618
area_error smoothness_error,0.006956875
mean_area symmetry_error,0.006713725
mean_texture area_error,0.006451844
mean_perimeter worst_smoothness,0.006409238
area_error worst_concavity,0.006360338
area_error worst_compactness,0.006352693
mean_concave_points area_error,0.0061645694
worst_radius worst_symmetry,0.0059635825
mean_concave_points worst_fractal_dimension,0.005917115
radius_error worst_area,0.0058156657
perimeter_error,0.0057957754
mean_perimeter worst_compactness,0.005675632
mean_texture mean_perimeter,0.005625844
mean_smoothness worst_area,0.0054495046
mean_compactness concavity_error,0.0053932327
mean_smoothness mean_concave_points,0.0052391514
area_error concave_points_error,0.0048027537
mean_texture perimeter_error,0.0047730743
area_error worst_smoothness,0.004550836
mean_texture,0.0045264405
mean_area worst_texture,0.004356166
worst_area worst_fractal_dimension,0.0042943596
worst_area,0.004162564
worst_texture worst_perimeter,0.004112176
mean_concave_points worst_perimeter,0.004038102
mean_concave_points perimeter_error,0.004000058
worst_texture worst_concavity,0.003811871
radius_error concave_points_error,0.0033801692
mean_texture worst_texture,0.003362647
mean_smoothness worst_texture,0.0031989906
worst_texture,0.0031211213
worst_radius worst_texture,0.0031176768
mean_compactness compactness_error,0.0030432097
mean_compactness worst_fractal_dimension,0.0029546774
mean_radius symmetry_error,0.0028719131
mean_fractal_dimension smoothness_error,0.0028487658
worst_perimeter worst_concavity,0.0028444924
mean_area mean_smoothness,0.0027849162
mean_smoothness perimeter_error,0.0027553553
mean_radius worst_smoothness,0.0026751114
texture_error,0.0025950726
radius_error,0.0025205235
mean_radius mean_smoothness,0.0025129477
mean_texture fractal_dimension_error,0.002475295
worst_texture worst_smoothness,0.002464789
mean_texture worst_perimeter,0.0023726332
area_error worst_concave_points,0.0022870433
