scenario,variant,estimator,metric,mean,std,dataset_rows,positive_ratio,description
baseline,baseline,xgboost,accuracy,0.9225310467179183,0.024267633978336093,800,0.50125,Original synthetic data
baseline,poly2,xgboost,accuracy,0.9087653590906104,0.018375836085316295,800,0.50125,Original synthetic data
baseline,quantile_bins,xgboost,accuracy,0.8675433903109834,0.0302941012646648,800,0.50125,Original synthetic data
baseline,vif_filter,xgboost,accuracy,0.9225310467179183,0.024267633978336093,800,0.50125,Original synthetic data
feature_noise,baseline,xgboost,accuracy,0.8424901204321665,0.01993830614754412,800,0.50125,Gaussian noise added (scale=0.5×std).
feature_noise,poly2,xgboost,accuracy,0.8499807571362865,0.026129004764244162,800,0.50125,Gaussian noise added (scale=0.5×std).
feature_noise,quantile_bins,xgboost,accuracy,0.8137290792524382,0.01954280053600427,800,0.50125,Gaussian noise added (scale=0.5×std).
feature_noise,vif_filter,xgboost,accuracy,0.8424901204321665,0.01993830614754412,800,0.50125,Gaussian noise added (scale=0.5×std).
missingness,baseline,xgboost,accuracy,0.8400167084377611,0.011726438536445009,800,0.50125,20% random entries masked on numeric columns.
missingness,poly2,xgboost,accuracy,0.8425229741019215,0.018466721476924953,800,0.50125,20% random entries masked on numeric columns.
missingness,quantile_bins,xgboost,accuracy,0.8175213314184337,0.02104406497998577,800,0.50125,20% random entries masked on numeric columns.
missingness,vif_filter,xgboost,accuracy,0.8400167084377611,0.011726438536445009,800,0.50125,20% random entries masked on numeric columns.
imbalance,baseline,xgboost,accuracy,0.9162231421249754,0.020830677524796015,800,0.50125,Downsample majority class to 20% positives.
imbalance,poly2,xgboost,accuracy,0.9062121596125143,0.028522907461412398,800,0.50125,Downsample majority class to 20% positives.
imbalance,quantile_bins,xgboost,accuracy,0.8662057766138193,0.03154123369774239,800,0.50125,Downsample majority class to 20% positives.
imbalance,vif_filter,xgboost,accuracy,0.9162231421249754,0.020830677524796015,800,0.50125,Downsample majority class to 20% positives.
