experiment,seed,fold,sample_index,prediction,positive_class,top_contributions,expected_value
boosting_suite_catboost_baseline,42,-1,204,0.9985906262800718,1,"[('worst_perimeter', 0.1015191738534748), ('worst_concave_points', 0.044712761829563935), ('worst_area', 0.03791719412096366), ('concavity_error', 0.03689418988317065), ('fractal_dimension_error', 0.03541692949447529), ('symmetry_error', 0.031495375114155726), ('mean_symmetry', 0.024767393096114736), ('mean_perimeter', 0.01899357196297846), ('mean_concave_points', 0.013876431441180037), ('worst_compactness', 0.008960717762482813)]",0.6440368877215117
boosting_suite_catboost_baseline,42,-1,70,0.0004393613394860677,1,"[('worst_area', -0.16556321778252633), ('worst_concave_points', -0.1053975186317017), ('area_error', -0.07183607964196143), ('perimeter_error', -0.0693623414048517), ('mean_concave_points', -0.05562340319168723), ('compactness_error', -0.05483916477794234), ('worst_radius', -0.03511171594424238), ('worst_texture', -0.03171752468802422), ('mean_perimeter', -0.029311584712429957), ('worst_perimeter', -0.02483497560665826)]",0.6440368877215117
boosting_suite_catboost_baseline,42,-1,131,0.00042884604662828124,1,"[('worst_perimeter', -0.12981849485033625), ('worst_texture', -0.08646485101068545), ('worst_area', -0.08453937303459283), ('mean_smoothness', -0.06379036565214408), ('area_error', -0.06298318598031047), ('worst_concave_points', -0.05570428664373006), ('mean_area', -0.046917432491928285), ('mean_concave_points', -0.04062289806404207), ('smoothness_error', -0.04003632089946206), ('radius_error', -0.03273083304765184)]",0.6440368877215117
boosting_suite_catboost_baseline,42,-1,431,0.999644781264856,1,"[('worst_texture', 0.05358032672132916), ('compactness_error', 0.04696349879761132), ('mean_concave_points', 0.046630204144453416), ('worst_radius', 0.04155035614240557), ('worst_area', 0.03487353509436052), ('worst_perimeter', 0.03216096965267041), ('worst_concave_points', 0.03191702056767022), ('area_error', 0.026751378180039535), ('worst_symmetry', 0.025833510081002375), ('concavity_error', 0.015347094161801831)]",0.6440368877215117
boosting_suite_catboost_baseline,42,-1,540,0.9999114961646429,1,"[('area_error', 0.060486554107711685), ('worst_perimeter', 0.05925969469825946), ('mean_smoothness', 0.05523848275369439), ('worst_concave_points', 0.04148854432263611), ('worst_texture', 0.04105785582705173), ('mean_concave_points', 0.03551424089700407), ('worst_area', 0.023333586473119283), ('mean_texture', 0.020717013952228462), ('fractal_dimension_error', 0.01143223877714381), ('symmetry_error', 0.0073463966342822255)]",0.6440368877215117
boosting_suite_catboost_baseline,42,-1,204,0.9996820920582801,1,"[('worst_perimeter', 0.09587168827686202), ('worst_radius', 0.075352336584517), ('worst_concave_points', 0.0485341784175145), ('smoothness_error', 0.03183556841258889), ('worst_area', 0.026203154614819854), ('mean_concave_points', 0.022472166816406493), ('symmetry_error', 0.01445457422192054), ('worst_fractal_dimension', 0.014035111668953713), ('texture_error', 0.00948684880773704), ('area_error', 0.008768073068079302)]",0.6526683911688808
boosting_suite_catboost_baseline,42,-1,70,0.00037442971763647413,1,"[('worst_perimeter', -0.24621604301460134), ('worst_concavity', -0.11084441076276397), ('worst_area', -0.08348312087079544), ('worst_concave_points', -0.07028107961356611), ('worst_radius', -0.03615809096847692), ('mean_texture', -0.035204541095878394), ('texture_error', -0.02067384082220018), ('mean_concave_points', -0.018234717913130805), ('worst_compactness', -0.01606718887378078), ('worst_symmetry', -0.015130927516050526)]",0.6526683911688808
boosting_suite_catboost_baseline,42,-1,131,0.00042552431450919873,1,"[('worst_perimeter', -0.10782944911225421), ('mean_smoothness', -0.09260029997707867), ('worst_area', -0.09052746117469937), ('worst_concave_points', -0.0732998185865332), ('compactness_error', -0.06738425328803076), ('mean_concave_points', -0.05859900939987913), ('worst_texture', -0.05344040507427102), ('mean_compactness', -0.045538736767355335), ('worst_radius', -0.03979594196938582), ('concave_points_error', -0.023227491504884012)]",0.6526683911688808
boosting_suite_catboost_baseline,42,-1,431,0.9997795429116486,1,"[('worst_perimeter', 0.10315352788584342), ('worst_concavity', 0.05857184535757735), ('worst_area', 0.05201845256036804), ('worst_concave_points', 0.03220777988061592), ('concave_points_error', 0.02540698979282964), ('worst_radius', 0.024194362532675654), ('worst_texture', 0.018810866653912562), ('mean_concavity', 0.013859083411601946), ('worst_compactness', 0.010503540382076512), ('compactness_error', 0.008384703285266748)]",0.6526683911688808
boosting_suite_catboost_baseline,42,-1,540,0.9999066978217872,1,"[('worst_area', 0.09449559542172666), ('worst_concave_points', 0.04972391914112506), ('symmetry_error', 0.045927755750562245), ('worst_radius', 0.042636234403652544), ('worst_perimeter', 0.03974110024937091), ('area_error', 0.02769576201953765), ('concave_points_error', 0.013878911876479494), ('worst_texture', 0.012812976940356586), ('mean_texture', 0.01258381473472078), ('concavity_error', 0.007742236115374538)]",0.6526683911688808
