feature,importance
worst_perimeter,0.2906401
worst_concave_points,0.23005535
worst_area,0.07026762
mean_concave_points,0.050362
mean_radius,0.04712983
worst_concavity,0.03570978
worst_radius,0.035630655
mean_area,0.035487175
mean_texture,0.018186878
mean_concavity,0.017639723
radius_error,0.017610671
worst_texture,0.016889162
area_error,0.01379803
perimeter_error,0.011377614
mean_smoothness,0.011121518
worst_smoothness,0.0105738435
worst_compactness,0.00970085
worst_symmetry,0.0076717064
fractal_dimension_error,0.0076507265
smoothness_error,0.007571624
concavity_error,0.0074165375
texture_error,0.007346155
compactness_error,0.0069617988
worst_fractal_dimension,0.006868166
symmetry_error,0.0057845227
mean_fractal_dimension,0.005720299
mean_compactness,0.005220874
concave_points_error,0.005017587
mean_symmetry,0.0034649896
mean_perimeter,0.0011243107
