feature,importance
worst_perimeter,0.21830408
mean_concave_points,0.21556358
worst_concave_points,0.15403493
worst_area,0.073821716
worst_radius,0.045176234
worst_concavity,0.031460404
mean_concavity,0.028096128
worst_compactness,0.025650062
mean_area,0.024853857
mean_radius,0.02481676
worst_texture,0.015157097
perimeter_error,0.014490001
radius_error,0.0142463455
mean_texture,0.013359518
area_error,0.013338632
concavity_error,0.009587051
worst_smoothness,0.009512899
worst_symmetry,0.007942992
mean_fractal_dimension,0.0067718443
fractal_dimension_error,0.006624892
texture_error,0.0065910667
worst_fractal_dimension,0.006347773
smoothness_error,0.0058473586
mean_symmetry,0.005357715
concave_points_error,0.00524646
mean_compactness,0.0051707723
symmetry_error,0.0047700726
mean_smoothness,0.0041957386
compactness_error,0.003638718
mean_perimeter,2.514969e-05
