feature,importance
worst_area worst_smoothness,0.09703095
worst_area worst_fractal_dimension,0.08933702
worst_area worst_concave_points,0.08697404
worst_radius worst_smoothness,0.04987033
worst_perimeter worst_smoothness,0.04802159
mean_concavity worst_texture,0.032063633
mean_symmetry worst_area,0.030979669
worst_area worst_symmetry,0.029704552
mean_texture worst_area,0.026503557
mean_concave_points worst_texture,0.024697898
texture_error worst_concavity,0.022940472
worst_radius worst_symmetry,0.014585357
mean_texture worst_concave_points,0.011296586
worst_texture worst_area,0.011151173
mean_symmetry worst_smoothness,0.011108016
worst_texture worst_concave_points,0.010816007
mean_area worst_texture,0.010589416
worst_concave_points worst_fractal_dimension,0.010182023
mean_smoothness worst_concave_points,0.010001553
worst_concave_points,0.009830815
mean_radius mean_area,0.009442238
mean_texture mean_area,0.00890782
mean_symmetry worst_concave_points,0.008088197
area_error worst_perimeter,0.007690623
mean_perimeter worst_smoothness,0.007688982
mean_texture radius_error,0.0071751787
worst_radius worst_texture,0.0070926067
mean_area,0.006884108
mean_symmetry compactness_error,0.0067352103
mean_texture mean_smoothness,0.006658038
mean_radius worst_fractal_dimension,0.0062783
mean_radius perimeter_error,0.0062549715
worst_concavity,0.006186279
worst_texture worst_perimeter,0.0059837652
mean_perimeter worst_texture,0.005931519
radius_error^2,0.005525366
mean_texture compactness_error,0.0055027525
mean_smoothness radius_error,0.00539106
mean_compactness worst_area,0.005351342
perimeter_error,0.0052572833
mean_texture worst_smoothness,0.0046171076
texture_error worst_area,0.0046032486
mean_texture worst_radius,0.0043668086
mean_area radius_error,0.0042076274
mean_texture mean_concave_points,0.004179158
mean_perimeter mean_compactness,0.0039531314
radius_error,0.0038279097
mean_smoothness worst_radius,0.003779092
worst_fractal_dimension,0.0037744993
worst_texture,0.0035982644
compactness_error,0.003529549
symmetry_error worst_compactness,0.003511374
mean_concave_points area_error,0.003507127
mean_area worst_fractal_dimension,0.0034761068
mean_smoothness area_error,0.0034247397
mean_fractal_dimension concavity_error,0.0034011584
radius_error worst_area,0.0032441774
mean_concave_points worst_perimeter,0.0030805862
radius_error worst_texture,0.0030359637
mean_texture area_error,0.0030291877
mean_radius area_error,0.0028070787
texture_error area_error,0.0028016851
mean_compactness worst_texture,0.0027929735
mean_compactness texture_error,0.0027286855
mean_concave_points worst_area,0.002672531
mean_texture worst_concavity,0.0026055898
mean_smoothness worst_texture,0.0025978915
symmetry_error fractal_dimension_error,0.002515382
texture_error symmetry_error,0.0024680302
worst_texture worst_concavity,0.0024680258
worst_area worst_compactness,0.0024577137
mean_radius compactness_error,0.0024456184
mean_concave_points texture_error,0.0024318963
smoothness_error compactness_error,0.0023911956
area_error worst_radius,0.002373571
mean_concave_points worst_concave_points,0.0023457073
mean_area area_error,0.0023304124
mean_radius worst_texture,0.0022596223
area_error worst_concave_points,0.0022565676
mean_texture worst_texture,0.0022471806
area_error,0.002200355
worst_symmetry worst_fractal_dimension,0.002194718
mean_texture perimeter_error,0.0020126298
mean_smoothness smoothness_error,0.0019458163
mean_smoothness mean_symmetry,0.0019426139
mean_compactness area_error,0.00193828
worst_texture^2,0.0019194202
area_error worst_texture,0.0018489823
compactness_error symmetry_error,0.0018164163
smoothness_error symmetry_error,0.0017631791
mean_smoothness worst_area,0.0017569521
radius_error compactness_error,0.0017534044
mean_smoothness mean_compactness,0.0016627378
mean_symmetry symmetry_error,0.0016624354
mean_radius smoothness_error,0.0016528209
mean_smoothness worst_fractal_dimension,0.0016314761
mean_fractal_dimension^2,0.0016081474
mean_texture worst_compactness,0.0015455633
mean_perimeter,0.001539281
concave_points_error worst_texture,0.0015285716
area_error worst_smoothness,0.0014362751
mean_texture,0.0014307116
mean_concave_points radius_error,0.0014071821
worst_texture worst_symmetry,0.0013516897
mean_area perimeter_error,0.0013447092
worst_concavity worst_symmetry,0.0013180836
mean_radius mean_texture,0.001294718
symmetry_error worst_area,0.0012283722
mean_fractal_dimension worst_texture,0.0011996349
worst_texture worst_smoothness,0.0011921275
mean_concavity worst_concave_points,0.0011753545
area_error worst_symmetry,0.0011434094
area_error worst_fractal_dimension,0.0011225449
perimeter_error symmetry_error,0.0011182864
texture_error worst_radius,0.0011168505
symmetry_error worst_radius,0.0011146077
radius_error smoothness_error,0.0011015468
mean_compactness mean_fractal_dimension,0.0010834094
concave_points_error worst_concavity,0.0010832123
area_error worst_area,0.00106151
worst_texture worst_compactness,0.0010611159
mean_radius symmetry_error,0.0010278312
radius_error worst_symmetry,0.0009943303
mean_compactness compactness_error,0.0009850917
texture_error perimeter_error,0.0009793878
mean_concave_points perimeter_error,0.00094667386
radius_error symmetry_error,0.00094607053
compactness_error^2,0.00090022973
texture_error worst_smoothness,0.0008901509
smoothness_error worst_concave_points,0.0008885687
worst_symmetry,0.00086568785
mean_concavity mean_concave_points,0.00085751456
mean_texture mean_fractal_dimension,0.0008569728
texture_error worst_concave_points,0.00084868004
mean_smoothness worst_symmetry,0.00083397666
mean_radius,0.0008093301
mean_smoothness compactness_error,0.00080339453
mean_texture texture_error,0.0007489171
smoothness_error worst_symmetry,0.00074336753
worst_smoothness^2,0.0007306507
mean_area compactness_error,0.0007170424
mean_compactness radius_error,0.0007042418
mean_radius radius_error,0.0006819991
mean_symmetry worst_radius,0.0006723709
mean_fractal_dimension symmetry_error,0.0006672354
mean_compactness,0.0006588384
mean_fractal_dimension compactness_error,0.00064644474
texture_error worst_perimeter,0.00064357644
worst_radius worst_area,0.00063428964
mean_smoothness worst_smoothness,0.0006323113
fractal_dimension_error worst_texture,0.0006305038
radius_error worst_smoothness,0.00061982736
mean_area concave_points_error,0.0006155735
mean_area mean_smoothness,0.0006044219
worst_concave_points worst_symmetry,0.00060220313
concavity_error symmetry_error,0.00059141096
mean_texture fractal_dimension_error,0.00058780453
mean_perimeter symmetry_error,0.0005784329
mean_smoothness^2,0.0005566788
worst_smoothness,0.0005563422
mean_fractal_dimension fractal_dimension_error,0.0005449127
mean_concave_points smoothness_error,0.0005335202
texture_error compactness_error,0.00052976474
fractal_dimension_error,0.0005289933
texture_error worst_compactness,0.00051547616
symmetry_error,0.0004937644
worst_radius worst_fractal_dimension,0.0004897705
mean_smoothness,0.00048016274
mean_texture symmetry_error,0.00046170037
mean_concave_points,0.0004486776
mean_concave_points mean_fractal_dimension,0.00044110903
mean_texture mean_symmetry,0.00042381592
worst_radius worst_compactness,0.00038939255
mean_perimeter worst_fractal_dimension,0.00038805517
mean_radius concave_points_error,0.0003812752
worst_area worst_concavity,0.00038079507
mean_area symmetry_error,0.0003388168
mean_area smoothness_error,0.00033313618
mean_concave_points concave_points_error,0.00030520736
mean_texture worst_symmetry,0.00030359218
symmetry_error worst_symmetry,0.0002909439
mean_concave_points worst_radius,0.00028652226
mean_compactness worst_smoothness,0.00027511566
mean_symmetry,0.00026132402
mean_symmetry mean_fractal_dimension,0.00025680632
