Gender,Age,Years_of_service,Education_level,Salary
0,27.0,1.7,0.0,39343.0
1,26.0,1.1,1.0,43205.0
1,26.0,1.2,0.0,47731.0
0,27.0,1.6,1.0,46525.0
0,26.0,1.5,1.0,40891.0
1,28.0,2.3,0.0,56642.0
0,32.0,2.8,1.0,60150.0
1,26.0,1.3,2.0,54445.0
0,31.0,3.0,1.0,64445.0
1,26.0,1.5,1.0,57189.0
1,27.0,1.9,2.0,55124.0
1,31.0,2.1,0.0,56452.0
1,32.0,3.0,1.0,59332.0
0,28.0,2.5,1.0,45989.0
0,25.0,1.2,1.0,49243.0
0,26.0,1.4,2.0,52787.0
1,27.0,1.8,0.0,53654.0
1,26.0,1.1,0.0,58423.0
0,30.0,2.0,1.0,56887.0
1,35.0,3.7,1.0,67189.0
1,36.0,3.9,2.0,63218.0
1,29.0,4.0,2.0,55794.0
0,33.0,4.0,0.0,56957.0
0,35.0,4.1,0.0,57081.0
