framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
feature_ablation_xgboost_baseline,fit_time_sec,0.08540379199548619,0.09223000149530781,-0.09536701093531712,0.2661745949262895,0.03952288359578226,0.16884447539632674,5
feature_ablation_xgboost_baseline,predict_time_sec,0.0074566918017808,0.0005188598066035811,0.006439726580837781,0.008473657022723818,0.00710040040139572,0.00790069159993432,5
feature_ablation_xgboost_poly2,fit_time_sec,0.049717724998481524,0.002091300674203422,0.04561877567704282,0.05381667431992023,0.04800133319513402,0.05117928123458107,5
feature_ablation_xgboost_poly2,predict_time_sec,0.00696529980050396,0.0002960221580332002,0.006385096370758888,0.007545503230249033,0.00678335800184864,0.007236333200125919,5
feature_ablation_xgboost_quantile_bins,fit_time_sec,0.05173179160046852,0.003562256208049998,0.044749769432690524,0.05871381376824652,0.04917666640540112,0.05462566679634616,5
feature_ablation_xgboost_quantile_bins,predict_time_sec,0.006937316799303479,0.0001708849524879563,0.006602382292427085,0.0072722513061798735,0.006788083200808599,0.007057083997642539,5
feature_ablation_xgboost_no_scaling,fit_time_sec,0.08411941679951268,0.06515380779506036,-0.04358204647880562,0.21182088007783098,0.051731071533940826,0.1432462669996312,5
feature_ablation_xgboost_no_scaling,predict_time_sec,0.0079715084051713,0.0010864433551692457,0.005842079429039578,0.010100937381303021,0.00715918340429194,0.008916327945335041,5
automl_suite_autogluon,fit_time_sec,1.7071572164073587,0.3358425769899994,1.04890576550696,2.3654086673077575,1.4435396082088119,1.9625077662087278,5
automl_suite_autogluon,predict_time_sec,0.02649544980085914,0.010194611930511679,0.006514010417056248,0.04647688918466203,0.01872349980403662,0.03427967645278834,5
feature_ablation_lightgbm_no_scaling,fit_time_sec,0.040005974599625856,0.029876109093494283,-0.018551199223622937,0.09856314842287464,0.021045149131896285,0.06697787479788524,5
feature_ablation_lightgbm_no_scaling,predict_time_sec,0.00207192499947262,0.00044497523716381237,0.0011997735346315477,0.002944076464313692,0.0017347333981887598,0.00240911660075648,5
H2O_AutoML,f1_macro,0.0,0.0,0.0,0.0,0.0,0.0,1
H2O_AutoML,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1
H2O_AutoML,roc_auc_ovr,0.9375,0.0,0.9375,0.9375,0.9375,0.9375,1
H2O_AutoML,avg_precision_ovr,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
feature_ablation_catboost_vif_filter,fit_time_sec,1.077042999799596,0.4158561581947025,0.26196492973797914,1.892121069861213,0.7671234915964306,1.406697257803171,5
feature_ablation_catboost_vif_filter,predict_time_sec,0.00405844999768302,0.0004316304813817413,0.003212454254174807,0.004904445741191233,0.0036800093863712247,0.0042821917973924,5
feature_ablation_lightgbm_poly2,fit_time_sec,0.025373991401283942,0.0061506957852903886,0.013318627662114781,0.037429355140453105,0.020961758200428383,0.030487893694807963,5
feature_ablation_lightgbm_poly2,predict_time_sec,0.00211995000136082,0.0004714548328188954,0.0011958985290357852,0.003044001473685855,0.0017534580023493198,0.00246459887610398,5
boosting_suite_xgboost_baseline,fit_time_sec,0.06598129590274762,0.05997915826721668,-0.05157785430099707,0.1835404461064923,0.04472815013101351,0.1048001992990248,10
boosting_suite_xgboost_baseline,predict_time_sec,0.007170337298884939,0.0003015979389972259,0.0065792053384503765,0.007761469259319502,0.007002347959642021,0.007348462484223934,10
boosting_suite_lightgbm_baseline,fit_time_sec,0.01979253330064234,0.0024462523313723487,0.014997878731152535,0.024587187870132143,0.018539312149296112,0.0215564397031994,10
