feature,importance
date_2023-06-29,0.022086337
date_2023-02-01,0.019954637
date_2023-01-01,0.019752927
date_2023-01-19,0.01920154
date_2023-02-04,0.019189693
date_2023-01-30,0.01868398
date_2023-02-02,0.016989851
date_2023-01-24,0.016313381
date_2023-05-20,0.016278474
date_2023-05-19,0.015998898
date_2023-05-23,0.015966663
date_2023-05-25,0.015801331
date_2023-05-18,0.01575129
date_2023-05-27,0.015722195
date_2023-01-31,0.015711451
date_2023-05-21,0.01570167
date_2023-05-26,0.015552435
date_2023-06-01,0.015520304
date_2023-01-05,0.015258994
date_2023-06-26,0.015054725
date_2023-02-06,0.01497398
date_2023-06-24,0.0147779975
date_2023-05-30,0.014408569
date_2023-05-17,0.01412125
date_2023-06-04,0.013675568
date_2023-06-28,0.012587301
date_2023-04-10,0.012543075
date_2023-01-04,0.012469143
date_2023-01-25,0.012282562
date_2023-04-09,0.012204022
date_2023-02-08,0.012089327
date_2023-06-25,0.012049136
date_2023-01-28,0.011722131
date_2023-02-09,0.011712799
date_2023-01-27,0.011528027
date_2023-05-22,0.011449817
date_2023-01-08,0.01129925
date_2023-05-28,0.011112648
date_2023-02-03,0.011071624
date_2023-03-14,0.011017825
date_2023-03-15,0.010894689
date_2023-06-08,0.010378312
date_2023-05-16,0.010101441
date_2023-01-03,0.009756454
date_2023-06-03,0.009530904
date_2023-04-12,0.009489775
date_2023-06-15,0.009351841
date_2023-04-14,0.009105403
date_2023-04-02,0.008975838
date_2023-02-12,0.00873491
date_2023-03-16,0.00864292
date_2023-01-21,0.008585386
date_2023-06-20,0.008045742
date_2023-01-22,0.007954677
date_2023-06-06,0.0075672953
date_2023-02-15,0.007293483
date_2023-03-18,0.00722504
date_2023-02-16,0.007136177
date_2023-04-11,0.007112136
date_2023-03-17,0.0069987276
date_2023-06-12,0.0068661156
date_2023-04-15,0.0066519254
date_2023-01-10,0.0066187144
date_2023-02-14,0.0065131313
date_2023-05-31,0.006409628
date_2023-01-23,0.0064087594
date_2023-03-25,0.0063747438
date_2023-05-12,0.0063379216
date_2023-01-13,0.0062956647
date_2023-02-11,0.006133264
date_2023-06-21,0.005962478
date_2023-06-18,0.0059534954
date_2023-05-14,0.0058443546
date_2023-04-19,0.005585623
date_2023-01-17,0.005569809
date_2023-03-21,0.0055062934
date_2023-03-08,0.0053504333
date_2023-05-11,0.005285436
date_2023-06-05,0.005265323
date_2023-02-25,0.005198236
date_2023-03-20,0.0051800106
date_2023-05-04,0.0049626837
date_2023-03-22,0.0049090413
date_2023-04-04,0.0048551206
date_2023-04-22,0.0048124795
date_2023-06-19,0.004742576
date_2023-03-24,0.00462366
date_2023-01-18,0.0045578475
date_2023-02-13,0.0045487247
date_2023-01-06,0.004356634
date_2023-01-16,0.0043217055
date_2023-04-07,0.0043071536
date_2023-04-21,0.004234112
date_2023-01-09,0.0042272406
date_2023-03-30,0.0042182226
date_2023-06-07,0.0041512293
date_2023-05-03,0.0041400017
date_2023-04-13,0.0041308273
date_2023-03-13,0.0041161096
date_2023-03-11,0.0040972563
date_2023-04-17,0.0040320335
date_2023-06-16,0.0038433003
date_2023-01-15,0.0035720873
date_2023-02-23,0.0035404267
date_2023-04-26,0.003362977
date_2023-06-13,0.0033082594
date_2023-03-12,0.0031798324
date_2023-02-20,0.0030691433
date_2023-03-29,0.0
date_2023-05-10,0.0
date_2023-02-27,0.0
date_2023-03-06,0.0
date_2023-03-05,0.0
date_2023-03-04,0.0
date_2023-03-03,0.0
date_2023-03-02,0.0
date_2023-02-28,0.0
date_2023-02-26,0.0
date_2023-03-09,0.0
date_2023-02-22,0.0
date_2023-02-19,0.0
date_2023-02-18,0.0
date_2023-02-17,0.0
date_2023-01-14,0.0
date_2023-01-07,0.0
date_2023-03-07,0.0
date_2023-03-10,0.0
date_2023-05-08,0.0
date_2023-04-23,0.0
date_2023-05-06,0.0
date_2023-05-01,0.0
date_2023-04-30,0.0
date_2023-04-27,0.0
date_2023-04-25,0.0
date_2023-04-24,0.0
date_2023-04-20,0.0
date_2023-03-19,0.0
date_2023-04-18,0.0
date_2023-04-05,0.0
date_2023-04-03,0.0
date_2023-04-01,0.0
date_2023-03-31,0.0
date_2023-03-27,0.0
date_2023-03-28,0.0
