feature,importance
date_2023-06-29,0.02152484
date_2023-05-24,0.019883243
date_2023-06-27,0.019294376
date_2023-01-19,0.019129714
date_2023-01-01,0.018981973
date_2023-02-04,0.018962014
date_2023-01-30,0.018327828
date_2023-01-29,0.017797086
date_2023-01-26,0.017615816
date_2023-02-02,0.017046371
date_2023-01-24,0.016703058
date_2023-05-20,0.015813043
date_2023-05-19,0.015433952
date_2023-01-31,0.015419123
date_2023-01-05,0.015400591
date_2023-05-23,0.015367401
date_2023-05-21,0.015246664
date_2023-05-26,0.014928687
date_2023-06-01,0.014821328
date_2023-05-18,0.0147983385
date_2023-05-25,0.014604008
date_2023-05-30,0.014254298
date_2023-01-02,0.014149134
date_2023-05-17,0.013531784
date_2023-06-24,0.013475318
date_2023-06-04,0.013327628
date_2023-01-04,0.012906808
date_2023-06-23,0.012573892
date_2023-01-25,0.012504948
date_2023-04-10,0.0124421455
date_2023-01-28,0.0119658075
date_2023-02-09,0.011886315
date_2023-06-28,0.011862768
date_2023-01-11,0.011566993
date_2023-06-25,0.011541264
date_2023-02-03,0.011198256
date_2023-05-15,0.011179157
date_2023-03-15,0.011143884
date_2023-03-14,0.011110944
date_2023-06-22,0.01100952
date_2023-01-08,0.010968604
date_2023-05-22,0.0106829135
date_2023-03-23,0.00965994
date_2023-06-08,0.009652028
date_2023-02-05,0.009480581
date_2023-04-06,0.009374293
date_2023-02-12,0.009295121
date_2023-05-16,0.00917946
date_2023-01-21,0.009136769
date_2023-03-16,0.008915397
date_2023-04-12,0.008758664
date_2023-06-03,0.008711894
date_2023-06-15,0.008543049
date_2023-02-07,0.008499399
date_2023-06-17,0.0083913915
date_2023-04-14,0.0083250115
date_2023-01-22,0.00809333
date_2023-04-02,0.007979449
date_2023-06-20,0.0073965164
date_2023-02-15,0.0071825907
date_2023-01-10,0.0070302943
date_2023-05-29,0.0070254635
date_2023-03-25,0.0068452857
date_2023-02-14,0.0068383226
date_2023-06-12,0.0062478688
date_2023-02-10,0.0062242565
date_2023-01-17,0.006009311
date_2023-03-21,0.005959972
date_2023-05-31,0.0059492164
date_2023-03-20,0.005657527
date_2023-03-08,0.0055057583
date_2023-04-08,0.0054149358
date_2023-03-26,0.0053417296
date_2023-06-18,0.0053246655
date_2023-05-04,0.005242608
date_2023-05-12,0.0052424204
date_2023-03-22,0.005200668
date_2023-02-13,0.005014644
date_2023-05-14,0.004913581
date_2023-06-09,0.0048418664
date_2023-01-16,0.0048362045
date_2023-01-18,0.004821977
date_2023-04-19,0.0048070755
date_2023-04-16,0.00471267
date_2023-01-06,0.0045887944
date_2023-03-11,0.00458671
date_2023-05-11,0.0045565893
date_2023-05-03,0.00444884
date_2023-03-13,0.0044257743
date_2023-02-25,0.004382696
date_2023-04-04,0.0043062815
date_2023-01-09,0.004304477
date_2023-01-15,0.0041015646
date_2023-04-07,0.0039355513
date_2023-05-07,0.0038672185
date_2023-06-07,0.0038375517
date_2023-04-13,0.0037655104
date_2023-02-20,0.0037516654
date_2023-03-30,0.0036910034
date_2023-04-29,0.0036290344
date_2023-04-21,0.0035900902
date_2023-03-03,0.0035205157
date_2023-03-12,0.0034585197
date_2023-04-17,0.0033747016
date_2023-05-09,0.0033605325
date_2023-02-22,0.0033262607
date_2023-06-16,0.0031920136
date_2023-03-02,0.0030555904
date_2023-06-10,0.0029775333
date_2023-06-13,0.0
date_2023-04-03,0.0
date_2023-05-10,0.0
date_2023-03-06,0.0
date_2023-01-14,0.0
date_2023-01-20,0.0
date_2023-02-17,0.0
date_2023-02-18,0.0
date_2023-02-19,0.0
date_2023-02-21,0.0
date_2023-02-23,0.0
date_2023-02-24,0.0
date_2023-02-26,0.0
date_2023-02-27,0.0
date_2023-02-28,0.0
date_2023-03-01,0.0
date_2023-03-04,0.0
date_2023-03-05,0.0
date_2023-03-10,0.0
date_2023-05-08,0.0
date_2023-03-19,0.0
date_2023-03-28,0.0
date_2023-03-29,0.0
date_2023-04-05,0.0
date_2023-04-18,0.0
date_2023-04-20,0.0
date_2023-04-23,0.0
date_2023-04-24,0.0
date_2023-04-25,0.0
date_2023-04-27,0.0
date_2023-04-30,0.0
date_2023-05-01,0.0
date_2023-05-02,0.0
date_2023-05-06,0.0
date_2023-03-31,0.0
