feature,importance
date_2023-06-29,0.022223892
date_2023-05-24,0.021546606
date_2023-01-19,0.021053907
date_2023-02-01,0.020910894
date_2023-02-04,0.020759946
date_2023-01-30,0.019995417
date_2023-06-27,0.019897046
date_2023-01-31,0.016485486
date_2023-05-23,0.016392052
date_2023-02-06,0.016080972
date_2023-05-27,0.016073566
date_2023-06-01,0.015876273
date_2023-05-21,0.015849434
date_2023-05-26,0.015767429
date_2023-01-02,0.015099064
date_2023-06-26,0.014743675
date_2023-06-24,0.014423981
date_2023-05-30,0.014348685
date_2023-01-12,0.01415938
date_2023-02-08,0.013725456
date_2023-01-04,0.013505013
date_2023-06-04,0.013366385
date_2023-01-25,0.013293757
date_2023-01-27,0.01253543
date_2023-06-28,0.012434158
date_2023-06-02,0.012433373
date_2023-04-10,0.012358682
date_2023-01-08,0.012336878
date_2023-06-23,0.012309737
date_2023-02-03,0.012223152
date_2023-03-14,0.0120427525
date_2023-04-09,0.011994419
date_2023-03-15,0.011714045
date_2023-05-15,0.011598089
date_2023-06-22,0.011431623
date_2023-05-22,0.011199705
date_2023-01-03,0.011103489
date_2023-02-05,0.010498485
date_2023-05-28,0.010456809
date_2023-02-12,0.010242406
date_2023-06-08,0.009953534
date_2023-05-16,0.0097414
date_2023-03-16,0.009607598
date_2023-01-21,0.009477551
date_2023-06-15,0.009157219
date_2023-01-22,0.008981166
date_2023-02-07,0.008970868
date_2023-04-14,0.00884988
date_2023-06-03,0.008798289
date_2023-06-17,0.008521713
date_2023-04-02,0.008397547
date_2023-06-14,0.008266651
date_2023-03-18,0.007968219
date_2023-02-16,0.007964595
date_2023-03-17,0.007827748
date_2023-01-13,0.0076417075
date_2023-02-15,0.0076141004
date_2023-01-10,0.007613512
date_2023-06-20,0.0075697224
date_2023-01-23,0.007422283
date_2023-03-25,0.007340642
date_2023-05-29,0.007286406
date_2023-02-11,0.0069788434
date_2023-06-06,0.006770435
date_2023-04-11,0.006603706
date_2023-05-13,0.006538255
date_2023-06-12,0.006432414
date_2023-01-17,0.0063857264
date_2023-03-08,0.0062321667
date_2023-03-20,0.006191604
date_2023-05-31,0.0060264384
date_2023-04-15,0.0058959713
date_2023-03-24,0.0058659106
date_2023-05-12,0.0056408886
date_2023-04-08,0.0055777975
date_2023-02-13,0.0054962505
date_2023-03-22,0.0054462524
date_2023-06-21,0.0053821844
date_2023-01-18,0.00536083
date_2023-03-11,0.005211966
date_2023-01-16,0.0051611834
date_2023-05-03,0.0051294533
date_2023-01-06,0.005093564
date_2023-06-05,0.005072659
date_2023-03-13,0.0049177883
date_2023-05-11,0.0048384443
date_2023-06-09,0.0046278164
date_2023-04-16,0.0046151527
date_2023-02-25,0.0046074544
date_2023-01-15,0.0044857394
date_2023-01-09,0.004450143
date_2023-05-05,0.004407694
date_2023-04-29,0.0043907734
date_2023-04-22,0.0042918758
date_2023-04-04,0.0042651715
date_2023-06-19,0.004248112
date_2023-01-07,0.0041438825
date_2023-02-20,0.004112975
date_2023-05-07,0.0039435164
date_2023-04-21,0.0038699063
date_2023-02-22,0.0036977648
date_2023-03-03,0.0036389746
date_2023-04-07,0.0035872234
date_2023-03-30,0.0035862823
date_2023-04-17,0.0035696898
date_2023-06-07,0.0035612003
date_2023-04-13,0.0035240636
date_2023-03-02,0.0034832633
date_2023-03-19,0.003176634
date_2023-06-11,0.0
date_2023-02-26,0.0
date_2023-06-13,0.0
date_2023-06-10,0.0
date_2023-02-23,0.0
date_2023-02-21,0.0
date_2023-02-27,0.0
date_2023-02-19,0.0
date_2023-02-28,0.0
date_2023-02-18,0.0
date_2023-01-14,0.0
date_2023-02-24,0.0
date_2023-01-20,0.0
date_2023-03-01,0.0
date_2023-03-04,0.0
date_2023-04-03,0.0
date_2023-04-18,0.0
date_2023-04-20,0.0
date_2023-04-24,0.0
date_2023-04-26,0.0
date_2023-04-27,0.0
date_2023-04-28,0.0
date_2023-04-30,0.0
date_2023-05-01,0.0
date_2023-05-02,0.0
date_2023-05-06,0.0
date_2023-05-10,0.0
date_2023-03-31,0.0
date_2023-03-29,0.0
date_2023-03-27,0.0
date_2023-03-10,0.0
date_2023-03-09,0.0
date_2023-03-07,0.0
date_2023-03-05,0.0
date_2023-04-01,0.0
