feature,importance
date_2023-06-29,0.020757765
date_2023-02-01,0.019344889
date_2023-05-24,0.01907448
date_2023-01-01,0.01856242
date_2023-01-19,0.018425982
date_2023-06-27,0.018305715
date_2023-01-30,0.017626256
date_2023-01-26,0.017346116
date_2023-01-29,0.017180596
date_2023-02-02,0.016775165
date_2023-01-24,0.016193017
date_2023-05-20,0.015566704
date_2023-05-19,0.015046725
date_2023-05-23,0.014987538
date_2023-05-21,0.014815871
date_2023-01-31,0.014797337
date_2023-06-01,0.014717258
date_2023-01-05,0.014605762
date_2023-05-25,0.014398619
date_2023-02-06,0.014394617
date_2023-05-27,0.014361585
date_2023-05-26,0.014146597
date_2023-05-18,0.013958644
date_2023-01-02,0.013570928
date_2023-06-24,0.013378947
date_2023-06-26,0.013253786
date_2023-05-30,0.013217969
date_2023-05-17,0.013069195
date_2023-01-12,0.012591826
date_2023-01-25,0.012105938
date_2023-01-28,0.01208799
date_2023-04-10,0.011887834
date_2023-06-23,0.011790352
date_2023-02-08,0.011662805
date_2023-06-02,0.011661043
date_2023-02-09,0.011494637
date_2023-04-09,0.011260772
date_2023-01-27,0.011214685
date_2023-01-11,0.011091183
date_2023-06-25,0.011073451
date_2023-05-15,0.010793123
date_2023-06-22,0.010676935
date_2023-05-28,0.010243466
date_2023-01-03,0.009719261
date_2023-03-23,0.009075803
date_2023-02-12,0.008921247
date_2023-04-06,0.0088500865
date_2023-06-15,0.008513533
date_2023-01-21,0.008417621
date_2023-04-12,0.008388022
date_2023-03-16,0.008387536
date_2023-06-14,0.00816021
date_2023-02-07,0.008123521
date_2023-06-03,0.008062239
date_2023-04-14,0.007983894
date_2023-01-22,0.007602445
date_2023-03-17,0.0074505387
date_2023-02-16,0.007436262
date_2023-06-20,0.00711781
date_2023-03-18,0.0068980167
date_2023-02-15,0.006897642
date_2023-05-29,0.006890189
date_2023-01-10,0.006840682
date_2023-01-13,0.0066919317
date_2023-01-23,0.006649699
date_2023-02-14,0.0066494863
date_2023-05-13,0.0064101974
date_2023-06-06,0.0063837543
date_2023-02-11,0.006135021
date_2023-02-10,0.0061192154
date_2023-04-11,0.006108834
date_2023-03-21,0.0059180832
date_2023-01-17,0.0057944474
date_2023-04-15,0.0057607978
date_2023-05-31,0.0057534687
date_2023-03-20,0.005486328
date_2023-03-08,0.0054179966
date_2023-03-26,0.0053556166
date_2023-06-21,0.0051735444
date_2023-04-08,0.005074383
date_2023-05-04,0.0050689746
date_2023-03-24,0.004988144
date_2023-06-18,0.004896978
date_2023-01-16,0.004804901
date_2023-04-19,0.0047475426
date_2023-06-05,0.004720828
date_2023-05-14,0.0046738097
date_2023-05-11,0.0046056667
date_2023-03-11,0.004539599
date_2023-06-09,0.0045169825
date_2023-02-25,0.0044307467
date_2023-03-13,0.0043431018
date_2023-05-05,0.004215465
date_2023-01-15,0.0041812537
date_2023-04-04,0.004178785
date_2023-04-22,0.0041773175
date_2023-06-19,0.004071962
date_2023-05-07,0.0040480983
date_2023-02-20,0.0039499677
date_2023-03-12,0.0037305122
date_2023-04-29,0.0035896387
date_2023-02-22,0.0035552375
date_2023-05-09,0.0033943823
date_2023-03-30,0.003385129
date_2023-04-17,0.0033223357
date_2023-04-13,0.0033103856
date_2023-06-07,0.0033073712
date_2023-06-16,0.0032903997
date_2023-01-07,0.003285904
date_2023-04-07,0.0032838234
date_2023-03-02,0.0032488871
date_2023-05-10,0.0
date_2023-02-28,0.0
date_2023-06-11,0.0
date_2023-03-09,0.0
date_2023-03-07,0.0
date_2023-03-06,0.0
date_2023-03-05,0.0
date_2023-02-27,0.0
date_2023-05-08,0.0
date_2023-02-26,0.0
date_2023-02-24,0.0
date_2023-02-21,0.0
date_2023-02-18,0.0
date_2023-02-17,0.0
date_2023-01-20,0.0
date_2023-03-10,0.0
date_2023-03-27,0.0
date_2023-03-28,0.0
date_2023-03-29,0.0
date_2023-04-01,0.0
date_2023-04-03,0.0
date_2023-04-18,0.0
date_2023-04-20,0.0
date_2023-04-23,0.0
date_2023-04-24,0.0
date_2023-04-25,0.0
date_2023-04-26,0.0
date_2023-04-27,0.0
date_2023-04-28,0.0
date_2023-05-01,0.0
date_2023-05-02,0.0
date_2023-05-06,0.0
date_2023-04-05,0.0
