feature,mean_abs_shap,experiment,seed,fold
date,1.0759524862405103,boosting_suite_catboost_baseline,42,-1
date,1.0851283032033774,boosting_suite_catboost_baseline,42,-1
date,1.0279449838244734,boosting_suite_catboost_baseline,42,-1
date,1.0950362778454932,boosting_suite_catboost_baseline,42,-1
date,1.0946687277657785,boosting_suite_catboost_baseline,42,-1
date,1.1143770561982436,boosting_suite_catboost_baseline,77,-1
date,1.1194598998354204,boosting_suite_catboost_baseline,77,-1
date,1.0802981844875705,boosting_suite_catboost_baseline,77,-1
date,1.0396604093989148,boosting_suite_catboost_baseline,77,-1
date,1.0799823893399294,boosting_suite_catboost_baseline,77,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,42,-1
date,3.552713678800501e-15,boosting_suite_lightgbm_baseline,42,-1
date,3.552713678800501e-15,boosting_suite_lightgbm_baseline,42,-1
date,0.0,boosting_suite_lightgbm_baseline,42,-1
date,3.552713678800501e-15,boosting_suite_lightgbm_baseline,42,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,77,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,77,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,77,-1
date,3.552713678800501e-15,boosting_suite_lightgbm_baseline,77,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,77,-1
date,1.1528896526054098,boosting_suite_xgboost_baseline,42,-1
date,1.1667847156524658,boosting_suite_xgboost_baseline,42,-1
date,1.1112339555481332,boosting_suite_xgboost_baseline,42,-1
date,1.1874558660719126,boosting_suite_xgboost_baseline,42,-1
date,1.1769985966623557,boosting_suite_xgboost_baseline,42,-1
date,1.207632185618082,boosting_suite_xgboost_baseline,77,-1
date,1.2074250344876911,boosting_suite_xgboost_baseline,77,-1
date,1.1624040292810507,boosting_suite_xgboost_baseline,77,-1
date,1.1216200143319575,boosting_suite_xgboost_baseline,77,-1
date,1.1645438741754617,boosting_suite_xgboost_baseline,77,-1
date,1.0759524862405103,feature_ablation_catboost_baseline,42,-1
date,1.0851283032033774,feature_ablation_catboost_baseline,42,-1
date,1.0279449838244734,feature_ablation_catboost_baseline,42,-1
date,1.0950362778454932,feature_ablation_catboost_baseline,42,-1
date,1.0946687277657785,feature_ablation_catboost_baseline,42,-1
date,1.0759524862405103,feature_ablation_catboost_no_scaling,42,-1
date,1.0851283032033774,feature_ablation_catboost_no_scaling,42,-1
date,1.0279449838244734,feature_ablation_catboost_no_scaling,42,-1
date,1.0950362778454932,feature_ablation_catboost_no_scaling,42,-1
date,1.0946687277657785,feature_ablation_catboost_no_scaling,42,-1
date,1.0759524862405103,feature_ablation_catboost_poly2,42,-1
date,1.0851283032033774,feature_ablation_catboost_poly2,42,-1
date,1.0279449838244734,feature_ablation_catboost_poly2,42,-1
date,1.0950362778454932,feature_ablation_catboost_poly2,42,-1
date,1.0946687277657785,feature_ablation_catboost_poly2,42,-1
date,1.0759524862405103,feature_ablation_catboost_quantile_bins,42,-1
date,1.0851283032033774,feature_ablation_catboost_quantile_bins,42,-1
date,1.0279449838244734,feature_ablation_catboost_quantile_bins,42,-1
date,1.0950362778454932,feature_ablation_catboost_quantile_bins,42,-1
date,1.0946687277657785,feature_ablation_catboost_quantile_bins,42,-1
date,1.0759524862405103,feature_ablation_catboost_vif_filter,42,-1
date,1.0851283032033774,feature_ablation_catboost_vif_filter,42,-1
date,1.0279449838244734,feature_ablation_catboost_vif_filter,42,-1
date,1.0950362778454932,feature_ablation_catboost_vif_filter,42,-1
date,1.0946687277657785,feature_ablation_catboost_vif_filter,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_baseline,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_baseline,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_baseline,42,-1
date,0.0,feature_ablation_lightgbm_baseline,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_baseline,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_no_scaling,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_no_scaling,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_no_scaling,42,-1
date,0.0,feature_ablation_lightgbm_no_scaling,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_no_scaling,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_poly2,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_poly2,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_poly2,42,-1
date,0.0,feature_ablation_lightgbm_poly2,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_poly2,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_quantile_bins,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_quantile_bins,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_quantile_bins,42,-1
date,0.0,feature_ablation_lightgbm_quantile_bins,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_quantile_bins,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_vif_filter,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_vif_filter,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_vif_filter,42,-1
date,0.0,feature_ablation_lightgbm_vif_filter,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_vif_filter,42,-1
date,1.1528896526054098,feature_ablation_xgboost_baseline,42,-1
date,1.1667847156524658,feature_ablation_xgboost_baseline,42,-1
date,1.1112339555481332,feature_ablation_xgboost_baseline,42,-1
date,1.1874558660719126,feature_ablation_xgboost_baseline,42,-1
date,1.1769985966623557,feature_ablation_xgboost_baseline,42,-1
date,1.1528896526054098,feature_ablation_xgboost_no_scaling,42,-1
date,1.1667847156524658,feature_ablation_xgboost_no_scaling,42,-1
date,1.1112339555481332,feature_ablation_xgboost_no_scaling,42,-1
date,1.1874558660719126,feature_ablation_xgboost_no_scaling,42,-1
date,1.1769985966623557,feature_ablation_xgboost_no_scaling,42,-1
date,1.1528896526054098,feature_ablation_xgboost_poly2,42,-1
date,1.1667847156524658,feature_ablation_xgboost_poly2,42,-1
date,1.1112339555481332,feature_ablation_xgboost_poly2,42,-1
date,1.1874558660719126,feature_ablation_xgboost_poly2,42,-1
date,1.1769985966623557,feature_ablation_xgboost_poly2,42,-1
date,1.1528896526054098,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1667847156524658,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1112339555481332,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1874558660719126,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1769985966623557,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1528896526054098,feature_ablation_xgboost_vif_filter,42,-1
date,1.1667847156524658,feature_ablation_xgboost_vif_filter,42,-1
date,1.1112339555481332,feature_ablation_xgboost_vif_filter,42,-1
date,1.1874558660719126,feature_ablation_xgboost_vif_filter,42,-1
date,1.1769985966623557,feature_ablation_xgboost_vif_filter,42,-1
